exponent,min_runtime_old,min_runtime_new
1905,0.0008209100051317364,0.00011069000174757093
1906,0.0006153499998617917,9.314899944001809e-05
1907,0.0006856299951323308,0.00011156999971717596
1908,0.0006743499980075285,0.0004226200035191141
1909,0.0008388399946852587,0.00011382000229787081
1910,0.0006945190034457482,0.00011130899656563997
1911,0.0006674899996141903,0.00011300999904051423
1912,0.0008753590009291656,0.00013608999870484695
1913,0.0006655100005446002,0.0001163099950645119
1914,0.0006983299972489476,0.0001118099971790798
1915,0.0006923000037204474,0.00011590900248847902
1916,0.0006635900062974542,0.00011331000132486224
1917,0.0006928099974174984,0.00011374000314390287
1918,0.0006889989963383414,0.00011415100016165525
1919,0.0007012589994701557,0.00017234999540960416
1920,0.0006406600004993379,0.00010923999798251316
1921,0.0006508999940706417,0.00010999000369338319
1922,0.00072340000042459,0.0001091800004360266
1923,0.0006686399938189425,0.00011047100269934162
1924,0.0007021400015219115,0.00011093099601566792
1925,0.0006619009946007282,0.00011223999899812043
1926,0.000670059998810757,0.0001127600044128485
1927,0.0006631500000366941,0.00011731000267900527
1928,0.00685004900151398,0.00012083999899914488
1929,0.0006274789993767627,0.0001065299948095344
1930,0.0006670700022368692,0.00011044900020351633
1931,0.0006170999986352399,0.00011811999866040424
1932,0.00486948000616394,0.00011187999916728586
1933,0.0006905100017320365,0.00014850000297883525
1934,0.001345290002063848,0.00011510000331327319
1935,0.0006818100009695627,0.00011228099901927635
1936,0.0006754689966328442,0.00012503999460022897
1937,0.0006597899991902523,0.00011432999599492177
1938,0.0006486400016001426,0.000149049999890849
1939,0.0006505899946205318,0.00011557999823708087
1940,0.0006649999995715916,0.00011521000124048442
1941,0.0006789000035496429,0.00011174999963259324
1942,0.0007195299986051396,0.00011145900498377159
1943,0.0009279700025217608,0.00012566000077640638
1944,0.0007382399999187328,0.00011536999954842031
1945,0.0006870799988973886,0.00012455999967642128
1946,0.00047618000098736957,0.00011811999866040424
1947,0.0006667800043942407,0.00011731000267900527
1948,0.0006518500013044104,0.00011507000454002991
1949,0.0006879400025354698,0.00011269999959040433
1950,0.0006858300039311871,0.00011177000124007463
1951,0.0006506299978354946,0.00010910000128205866
1952,0.0006806489982409403,0.00010946000111289322
1953,0.00044621899724006653,0.00011101999552920461
1954,0.0006820499984314665,0.00011500999971758574
1955,0.0006761900003766641,0.00011318899487378076
1956,0.0005880699973204173,0.00011673999688355252
1957,0.0006990000038058497,0.00015641000209143385
1958,0.0007085000033839606,0.00012461999722290784
1959,0.0005046000005677342,0.00014853000175207853
1960,0.00066559999686433,9.505000343779102e-05
1961,0.0008775399983278476,0.00013534999743569642
1962,0.0005785809989902191,0.00010742000449681655
1963,0.0007545390035375021,0.00011816900223493576
1964,0.0006533899941132404,0.00011282999912509695
1965,0.0010742500016931444,0.0019434299974818714
1966,0.000668119995680172,0.00011393000022508204
1967,0.0006832490034867078,0.00011909000022569671
1968,0.001254748996871058,0.00019660000543808565
1969,0.0009215090030920692,0.00012927000352647156
1970,0.0008890290046110749,0.000132610002765432
1971,0.0008682890038471669,0.0001420600019628182
1972,0.0008993399969767779,0.00013298999692779034
1973,0.0008766799946897663,0.00012503999460022897
1974,0.000900170998647809,0.00012622000213013962
1975,0.0008969089976744726,0.0001403399946866557
1976,0.0008523400028934702,0.0001269899948965758
1977,0.0008705400032340549,0.00013436999870464206
1978,0.0008665709974593483,0.00013210000179242343
1979,0.0008723299979465082,0.00013412000407697633
1980,0.0008743799990043044,0.00013575999764725566
1981,0.0008545990058337338,0.00013842999760527164
1982,0.0008505799996783026,0.0001254599992535077
1983,0.0008695299984537996,0.0001339899972663261
1984,0.0009014099996420555,0.00012428999616531655
1985,0.0008732489950489253,0.00013466000382322818
1986,0.0009583400023984723,0.0001356799984932877
1987,0.0026394500018795952,0.00012915999832330272
1988,0.000863260000187438,0.00013758999557467178
1989,0.0009119710011873394,0.00013826999929733574
1990,0.0010279900016030297,0.0001364700001431629
1991,0.0010213200002908707,0.00011683999764500186
1992,0.0025913600038620643,0.0001271799992537126
1993,0.0013220600012573414,0.00015204000374069437
